ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Year,Half,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,E_Dummy,S_Dummy,G_Dummy
1316,KYG6501M1050,US,2018,H1,0.03,3.7,6.38,,,,,,0,1,1
1316,KYG6501M1050,US,2018,H2,0.525,3.7000000000000006,6.916666666666667,,,,,,0,1,1
1316,KYG6501M1050,US,2019,H1,0.44166666666666665,3.6500000000000004,6.8,,,,,,0,1,1
1316,KYG6501M1050,US,2019,H2,2.5,3.4,6.599999999999999,,,,,,0,0,1
1316,KYG6501M1050,US,2020,H1,2.4833333333333334,3.483333333333333,6.633333333333333,,,,,,0,1,1
1316,KYG6501M1050,US,2020,H2,2.4,3.9,6.733333333333333,,,,,,0,1,1
1316,KYG6501M1050,US,2021,H1,2.5,4.033333333333333,4.81,,,,,,0,1,1
1316,KYG6501M1050,US,2021,H2,2.7000000000000006,4.433333333333334,5.7,,,,,,0,1,1
1316,KYG6501M1050,US,2022,H1,2.766666666666667,4.5,5.333333333333333,,,,,,0,1,1
1316,KYG6501M1050,US,2022,H2,2.9,3.5,4.55,,,,,,0,1,1
1316,KYG6501M1050,US,2023,H1,2.733333333333333,3.8333333333333335,4.6000000000000005,,,,,,0,1,1
1316,KYG6501M1050,US,2023,H2,2.4,4.5,5.766666666666667,,,,,,0,1,1
1316,KYG6501M1050,US,2024,H1,2.4,4.4,5.8,,,,,,0,1,1
ALV,US0528001094,US,2018,H1,5.1,5.3,3.7,2.8326588907403,6721.6,8678.2,4824.8,190.4,1,1,0
ALV,US0528001094,US,2021,H2,4.2,4.4,4.5,5.771527132811463,7537.0,8230.0,4889.0,435.0,0,1,1
ALV,US0528001094,US,2022,H1,4.2,4.4,4.6,5.771527132811463,7537.0,8230.0,4889.0,435.0,0,1,1
ATMU,US04956D1072,US,2023,H2,0.02,4.7,3.9499999999999997,15.735807459121808,1088.6,1628.1,1007.9,171.3,0,1,0
ATMU,US04956D1072,US,2024,H1,0.02,4.7,3.7999999999999994,15.735807459121808,1088.6,1628.1,1007.9,171.3,0,1,0
AXL,US0240611030,US,2018,H1,5.7,4.2,5.466666666666666,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,1,1,1
AXL,US02406PAP53,US,2018,H1,5.7,4.2,5.1,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,1,1,1
AXL,US02406PAR10,US,2018,H1,5.7,4.2,5.6499999999999995,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,1,1,1
AXL,US0240611030,US,2018,H2,4.4,4.8,5.7,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,0,1,1
AXL,US02406PAR10,US,2018,H2,4.4,4.8,5.7,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,0,1,1
AXL,US0240611030,US,2019,H1,4.416666666666667,4.766666666666667,5.55,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,0,1,1
AXL,US02406PAR10,US,2019,H1,4.416666666666667,4.766666666666667,5.55,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,0,1,1
AXL,US0240611030,US,2019,H2,1.5266666666666666,4.8,5.166666666666667,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,0,1,1
AXL,US02406PAR10,US,2019,H2,1.5266666666666666,4.8,5.166666666666667,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,0,1,1
AXL,US0240611030,US,2020,H1,0.04,4.9,5.25,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,0,1,1
AXL,US02406PAR10,US,2020,H1,0.04,4.9,5.25,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,0,1,1
AXL,US0240611030,US,2020,H2,0.03333333333333333,5.1000000000000005,5.3500000000000005,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,0,1,1
AXL,US02406PAR10,US,2020,H2,0.03333333333333333,5.1000000000000005,5.3500000000000005,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,0,1,1
AXL,US0240611030,US,2021,H1,0.03,5.2,4.533333333333333,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,0,1,1
AXL,US02406PAR10,US,2021,H1,0.03,5.2,4.533333333333333,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,0,1,1
AXL,US0240611030,US,2021,H2,2.41,5.133333333333333,4.7,0.10468974572812606,5635.7,5156.6,5177.9,5.9,0,1,1
AXL,US02406PAR10,US,2021,H2,0.03,5.2,4.5,0.10468974572812606,5635.7,5156.6,5177.9,5.9,0,1,1
AXL,US02406PBB58,US,2021,H2,3.6,5.1,4.8,0.10468974572812606,5635.7,5156.6,5177.9,5.9,0,1,1
AXL,US0240611030,US,2022,H1,3.6,5.1,4.966666666666666,0.10468974572812606,5635.7,5156.6,5177.9,5.9,0,1,1
AXL,US02406PBB58,US,2022,H1,3.6,5.1,4.966666666666666,0.10468974572812606,5635.7,5156.6,5177.9,5.9,0,1,1
AXL,US0240611030,US,2022,H2,3.6,3.7999999999999994,5.900000000000001,1.1756316963469486,5469.4,5802.4,4842.1,64.3,0,1,1
AXL,US02406PBB58,US,2022,H2,3.6,3.7999999999999994,5.900000000000001,1.1756316963469486,5469.4,5802.4,4842.1,64.3,0,1,1
AXL,US0240611030,US,2023,H1,3.6,3.7999999999999994,5.833333333333333,1.1756316963469486,5469.4,5802.4,4842.1,64.3,0,1,1
AXL,US02406PBB58,US,2023,H1,3.6,3.7999999999999994,5.833333333333333,1.1756316963469486,5469.4,5802.4,4842.1,64.3,0,1,1
AXL,US0240611030,US,2023,H2,3.7999999999999994,5.599999999999999,5.333333333333333,-0.6272986949946792,5356.3,6079.5,4751.4,-33.6,0,1,1
AXL,US02406PBB58,US,2023,H2,3.7999999999999994,5.599999999999999,5.333333333333333,-0.6272986949946792,5356.3,6079.5,4751.4,-33.6,0,1,1
AXL,US0240611030,US,2024,H1,3.7999999999999994,5.599999999999999,5.466666666666666,-0.6272986949946792,5356.3,6079.5,4751.4,-33.6,0,1,1
AXL,US02406PBB58,US,2024,H1,3.7999999999999994,5.599999999999999,5.466666666666666,-0.6272986949946792,5356.3,6079.5,4751.4,-33.6,0,1,1
BMWG,USU09513HX08,US,2023,H2,2.3800000000000003,3.74,4.55,,,,,,0,1,1
BMWG,USU09513HX08,US,2024,H1,7.3,0.04,4.8,,,,,,1,0,1
BWA,US0997241064,US,2018,H1,0.8583333333333334,4.183333333333334,5.743333333333333,9.21914158073559,10095.3,10529.6,5750.5,930.7,0,1,1
BWA,US0997241064,US,2018,H2,4.9,4.1,5.745,9.21914158073559,10095.3,10529.6,5750.5,930.7,1,1,1
BWA,US0997241064,US,2019,H1,4.9,4.1,6.8999999999999995,9.21914158073559,10095.3,10529.6,5750.5,930.7,1,1,1
BWA,US0997241064,US,2019,H2,5.033333333333333,1.3933333333333333,4.573333333333333,7.6891362605648315,9702.0,10168.0,4858.0,746.0,1,0,1
BWA,US0997241064,US,2020,H1,5.1,0.04,5.41,7.6891362605648315,9702.0,10168.0,4858.0,746.0,1,0,1
BWA,US0997241064,US,2020,H2,1.7333333333333332,2.746666666666666,5.983333333333333,3.119346185039616,16029.0,10165.0,9305.0,500.0,0,0,1
BWA,US0997241064,US,2021,H1,0.05000000000000001,2.07,3.3166666666666664,3.119346185039616,16029.0,10165.0,9305.0,500.0,0,0,0
BWA,US0997241064,US,2021,H2,1.1083333333333334,0.6833333333333332,2.875,3.239819004524887,16575.0,14838.0,9313.0,537.0,0,0,0
BWA,US0997241064,US,2022,H1,6.366666666666667,3.6999999999999997,5.733333333333333,3.239819004524887,16575.0,14838.0,9313.0,537.0,1,1,1
BWA,US0997241064,US,2022,H2,6.2,2.7000000000000006,5.076666666666667,5.554901730022361,16994.0,15801.0,9486.0,944.0,1,0,1
BWA,US0997241064,US,2023,H1,6.2,2.6999999999999997,5.495,5.554901730022361,16994.0,15801.0,9486.0,944.0,1,0,1
BWA,US0997241064,US,2023,H2,6.2,2.7999999999999994,3.5016666666666665,4.324361724209506,14453.0,14198.0,8387.0,625.0,1,0,0
BWA,US0997241064,US,2024,H1,6.2,2.7999999999999994,6.766666666666666,4.324361724209506,14453.0,14198.0,8387.0,625.0,1,0,1
CONG,DE000A1Z7C39,US,2018,H1,0.9916666666666667,4.183333333333333,4.433333333333334,,,,,,0,1,1
CONG,DE000A1Z7C39,US,2018,H2,5.7,4.6,4.916666666666667,,,,,,1,1,1
CONG,DE000A1Z7C39,US,2019,H1,5.7,4.6,5.6,,,,,,1,1,1
CONG,US21201CR165,US,2019,H1,5.7,0.05,4.3,,,,,,1,0,1
CONG,US21201CS155,US,2019,H1,5.7,0.05,4.9,,,,,,1,0,1
CONG,US21201CT302,US,2019,H1,5.7,0.05,5.2,,,,,,1,0,1
CONG,US21201CU383,US,2019,H2,5.7,0.05,5.1,,,,,,1,0,1
CONG,US21201CVN37,US,2019,H2,5.7,0.05,5.2,,,,,,1,0,1
CONG,US21201CW512,US,2019,H2,5.9,4.2,5.2,,,,,,1,1,1
CONG,US21201CX437,US,2019,H2,5.9,4.2,5.1,,,,,,1,1,1
CONG,US21201CZ259,US,2019,H2,5.9,4.2,5.2,,,,,,1,1,1
CONG,US21201ABU34,US,2020,H1,5.9,4.2,0.05,,,,,,1,1,0
CONG,US21201AE142,US,2020,H1,5.9,4.2,6.2,,,,,,1,1,1
CONG,US21201CJW73,US,2022,H2,5.1,4.3,4.7,,,,,,1,1,1
CONG,US21201CM521,US,2022,H2,5.1,4.3,4.7,,,,,,1,1,1
CONG,US21201CQ175,US,2023,H1,5.1,4.3,4.7,,,,,,1,1,1
CONG,US21201CT633,US,2023,H1,5.1,4.3,4.7,,,,,,1,1,1
CONG,US21201CUH77,US,2023,H2,5.1,4.3,0.05,,,,,,1,1,0
CONG,US21201CUX28,US,2023,H2,5.1,4.2,0.05,,,,,,1,1,0
CONG,US21201AB585,US,2024,H1,4.9,4.7,5.4,,,,,,1,1,1
CONG,US21201AC732,US,2024,H1,4.9,4.7,5.4,,,,,,1,1,1
CONG,US21201CZV17,US,2024,H1,4.9,4.7,5.4,,,,,,1,1,1
CPS,US21676P1030,US,2018,H1,4.7,4.4,7.25,4.108340389226043,2623.103,3629.293,1763.601,107.766,1,1,1
CPS,US21676P1030,US,2018,H2,4.55,2.8800000000000003,7.816666666666666,4.108340389226043,2623.103,3629.293,1763.601,107.766,0,0,1
CPS,US21676P1030,US,2019,H1,4.4,0.04,7.166666666666667,4.108340389226043,2623.103,3629.293,1763.601,107.766,0,0,1
CPS,US21676P1030,US,2019,H2,4.0,2.17,6.333333333333333,2.5622044770377093,2635.582,3108.4,1759.6,67.529,0,0,1
CPS,US21676P1030,US,2020,H1,3.6,4.3,6.716666666666666,2.5622044770377093,2635.582,3108.4,1759.6,67.529,0,1,1
CPS,US21676P1030,US,2020,H2,3.4,4.55,4.976666666666667,-10.245434052184887,2611.944,2375.439,1987.833,-267.605,0,1,1
CPS,US21676P1030,US,2021,H1,3.2999999999999994,4.3999999999999995,3.0833333333333335,-10.245434052184887,2611.944,2375.439,1987.833,-267.605,0,1,0
CPS,US21676P1030,US,2021,H2,3.4166666666666665,5.033333333333334,3.6999999999999997,-14.499708734768085,2226.493,2330.191,1895.133,-322.835,0,1,0
CPS,US21676P1030,US,2022,H1,3.4,5.45,5.7,-14.499708734768085,2226.493,2330.191,1895.133,-322.835,0,1,1
CPS,US21676P1030,US,2022,H2,3.1,5.1,6.599999999999999,-10.969229382402805,1963.529,2525.391,1862.337,-215.384,0,1,1
CPS,US21676P1030,US,2023,H1,3.1,5.1,6.599999999999999,-10.969229382402805,1963.529,2525.391,1862.337,-215.384,0,1,1
CPS,US21676P1030,US,2023,H2,2.7000000000000006,5.1,6.733333333333333,-10.788073913408063,1872.299,2815.879,1962.032,-201.985,0,1,1
CPS,US21676P1030,US,2024,H1,2.7000000000000006,5.1,6.8,-10.788073913408063,1872.299,2815.879,1962.032,-201.985,0,1,1
CTB,US2168311072,US,2018,H1,3.2999999999999994,4.266666666666667,7.3,2.9073667387314197,2634.205,2808.062,1401.762,76.586,0,1,1
CTB,US2168311072,US,2018,H2,3.2999999999999994,4.6,6.75,2.9073667387314197,2634.205,2808.062,1401.762,76.586,0,1,1
CTB,US2168311072,US,2019,H1,3.4,4.9,6.833333333333333,2.9073667387314197,2634.205,2808.062,1401.762,76.586,0,1,1
