ISSUER_TICKER,ISSUER_ISIN,ISSUER_CNTRY_DOMICILE,Firm,Year,Half,Time,ENVIRONMENTAL_PILLAR_SCORE,SOCIAL_PILLAR_SCORE,GOVERNANCE_PILLAR_SCORE,ROA,Total_Assets,Total_Revenue,Total_Liabilities,Net_Income,Size,Leverage,Growth
ALV,US0528001094,US,ALV,2018,H1,20181,5.1,5.3,3.7,2.8326588907403,6721.6,8678.2,4824.8,190.4,8.813081500415118,0.7178052844560818,9.068569412877697
ALV,US0528001094,US,ALV,2021,H2,20212,4.2,4.4,4.5,5.771527132811463,7537.0,8230.0,4889.0,435.0,8.92757950384347,0.6486665782141435,9.015541293671115
ALV,US0528001094,US,ALV,2022,H1,20221,4.2,4.4,4.6,5.771527132811463,7537.0,8230.0,4889.0,435.0,8.92757950384347,0.6486665782141435,9.015541293671115
ATMU,US04956D1072,US,ATMU,2023,H2,20232,0.02,4.7,3.95,15.735807459121808,1088.6,1628.1,1007.9,171.3,6.9926477460001,0.925868087451773,7.395168969737469
ATMU,US04956D1072,US,ATMU,2024,H1,20241,0.02,4.7,3.7999999999999994,15.735807459121808,1088.6,1628.1,1007.9,171.3,6.9926477460001,0.925868087451773,7.395168969737469
AXL,US0240611030,US,AXL,2018,H1,20181,5.7,4.2,5.466666666666666,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US02406PAP53,US,AXL,2018,H1,20181,5.7,4.2,5.1,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US02406PAR10,US,AXL,2018,H1,20181,5.7,4.2,5.6499999999999995,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US0240611030,US,AXL,2018,H2,20182,4.4,4.8,5.7,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US02406PAR10,US,AXL,2018,H2,20182,4.4,4.8,5.7,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US0240611030,US,AXL,2019,H1,20191,4.416666666666667,4.766666666666667,5.55,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US02406PAR10,US,AXL,2019,H1,20191,4.416666666666667,4.766666666666667,5.55,-0.7655744471221058,7510.7,7270.4,6024.4,-57.5,8.92408394946908,0.8021089911725937,8.891566589646724
AXL,US0240611030,US,AXL,2019,H2,20192,1.5266666666666666,4.8,5.166666666666667,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,8.801559773699699,0.8524516148451373,8.784300038194559
AXL,US02406PAR10,US,AXL,2019,H2,20192,1.5266666666666666,4.8,5.166666666666667,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,8.801559773699699,0.8524516148451373,8.784300038194559
AXL,US0240611030,US,AXL,2020,H1,20201,0.04,4.9,5.25,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,8.801559773699699,0.8524516148451373,8.784300038194559
AXL,US02406PAR10,US,AXL,2020,H1,20201,0.04,4.9,5.25,-7.291635312885651,6644.6,6530.9,5664.2,-484.5,8.801559773699699,0.8524516148451373,8.784300038194559
AXL,US0240611030,US,AXL,2020,H2,20202,0.0333333333333333,5.1000000000000005,5.3500000000000005,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,8.685466532484133,0.9369200344810101,8.457613023967394
AXL,US02406PAR10,US,AXL,2020,H2,20202,0.0333333333333333,5.1000000000000005,5.3500000000000005,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,8.685466532484133,0.9369200344810101,8.457613023967394
AXL,US0240611030,US,AXL,2021,H1,20211,0.03,5.2,4.533333333333333,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,8.685466532484133,0.9369200344810101,8.457613023967394
AXL,US02406PAR10,US,AXL,2021,H1,20211,0.03,5.2,4.533333333333333,-9.487348511738755,5916.3,4710.8,5543.1,-561.3,8.685466532484133,0.9369200344810101,8.457613023967394
AXL,US0240611030,US,AXL,2021,H2,20212,2.41,5.133333333333333,4.7,0.104689745728126,5635.7,5156.6,5177.9,5.9,8.636876642361248,0.918767854924854,8.54803272656721
AXL,US02406PAR10,US,AXL,2021,H2,20212,0.03,5.2,4.5,0.104689745728126,5635.7,5156.6,5177.9,5.9,8.636876642361248,0.918767854924854,8.54803272656721
AXL,US02406PBB58,US,AXL,2021,H2,20212,3.6,5.1,4.8,0.104689745728126,5635.7,5156.6,5177.9,5.9,8.636876642361248,0.918767854924854,8.54803272656721
AXL,US0240611030,US,AXL,2022,H1,20221,3.6,5.1,4.966666666666666,0.104689745728126,5635.7,5156.6,5177.9,5.9,8.636876642361248,0.918767854924854,8.54803272656721
AXL,US02406PBB58,US,AXL,2022,H1,20221,3.6,5.1,4.966666666666666,0.104689745728126,5635.7,5156.6,5177.9,5.9,8.636876642361248,0.918767854924854,8.54803272656721
AXL,US0240611030,US,AXL,2022,H2,20222,3.6,3.7999999999999994,5.900000000000001,1.1756316963469486,5469.4,5802.4,4842.1,64.3,8.606924200185832,0.8853073463268367,8.666026904049202
AXL,US02406PBB58,US,AXL,2022,H2,20222,3.6,3.7999999999999994,5.900000000000001,1.1756316963469486,5469.4,5802.4,4842.1,64.3,8.606924200185832,0.8853073463268367,8.666026904049202
